source_id,b_mag,g_mag,r_mag,teff,d_parallax,d_gspphot,b_r_abs,g_abs
38693361197824,13.940712,13.598927,13.088559,5883.8447,907.130029566942,873.409,0.7343529999999995,3.5928792798269757
38796440413824,16.99159,16.44632,15.746342,4565.9673,1036.9583194736256,1085.1173,1.2410479999999984,6.359513498606386
38830800152448,15.918227,15.471488,14.860601,5580.7573,1119.9744328951733,1783.2202,0.8489259999999991,4.8364474570923175
39689793613696,18.135683,17.083694,16.074615,3992.0244,488.74838898943483,683.7623,1.7287679999999988,8.048067305567617
40239549426432,18.884392,17.596016,16.499235,3594.096,667.6837946808826,675.4874,2.0708569999999993,7.955661821888432
40308268902528,17.60807,16.245092,15.104757,3598.23,252.37594831763985,249.1142,2.105913000000002,8.582652180789427
40544491499648,17.845205,17.455889,16.918114,5258.108,2061.0137560603275,1614.4071,0.9233910000000007,5.878684547748392
40544491500416,19.462194,18.445848,17.3833,3466.0017,863.1539639416346,662.2047,1.9540940000000018,8.547706653368508
40681930442240,17.552109,17.034966,16.347801,5152.882,1433.079453746218,3724.2307,0.985008000000001,5.843314652455113
41064183148160,14.516194,14.157319,13.6265955,5748.2266,632.6774553002215,591.7943,0.7773985,4.944007204131898
41098542885760,17.237589,16.464996,15.600216,4438.8716,574.7507183671305,700.9225,1.4086730000000003,7.235998386220466
41231686263936,20.662485,18.91684,17.636366,3370.5918,446.0472456866394,1063.2571,2.6412190000000013,10.104135690135564
41339061053952,17.348,16.968325,16.400648,5156.02,2450.5074155457014,1327.4131,0.9470519999999987,5.021544894596374
41442140268544,16.73093,16.10282,15.339615,4419.08,1019.1320409737411,1161.0918,1.3339150000000006,5.9535677210313125
41476500006656,15.713557,15.17705,14.492517,4830.583,650.1768233661771,647.9294,1.1363400000000003,5.951192578564092
41751377912960,17.838743,16.815907,15.81102,3912.4622,395.327411569409,383.5549,1.7367230000000018,8.309222355548037
41888816865920,17.568638,16.967274,16.244295,4509.3384,1279.7890675050314,1313.5377,1.290342999999999,6.367782020383464
42228118474880,17.72091,17.168264,16.490906,4561.588,2088.5356287678237,931.0427,1.221204000000001,5.552654558074547
42335493463424,13.914814,13.546184,13.010605,5571.944,589.2978720903479,575.9272,0.8392089999999999,4.573509635531282
42404212940032,17.229197,16.36841,15.462913,4205.295,525.5955658061276,525.6933,1.523483999999999,7.311651536819516
42576011629952,18.624422,17.919867,17.104702,4230.3716,1002.2671005642815,1575.4535,1.5093199999999996,7.895549625662344
42713450584448,20.117456,18.744904,17.593624,3294.4048,556.3661887045101,367.4695,2.452432000000002,9.904400353367922
42713450599296,15.780379,15.353536,14.750114,5382.6323,779.6064557559,677.5208,0.8856649999999999,5.6264588661946355
42915313463424,17.949625,17.39771,16.693205,4537.466,1521.0279912827075,951.9316,1.242720000000002,6.461423968039531
42919609016576,12.835781,12.505317,12.005003,6170.0366,415.8086679433871,410.1245,0.6903780000000005,4.149949308058519
43194486923264,16.941866,16.433006,15.772951,4706.319,1312.8743897360232,1212.9222,1.163715,5.832190116902478
43331925875712,17.220366,16.474705,15.645312,4387.4907,690.2106496841025,762.289,1.422153999999998,6.991896719982456
43641163519872,14.364667,14.029673,13.508392,5826.28,1049.11453650186,1042.0007,0.7589750000000002,3.7444584767856597
44358422235136,9.697104,9.365663,8.869436,5787.84,104.62147307538831,104.1546,0.7989679999999992,4.21335884689138
44878114096768,17.066816,16.674149,16.139174,5298.5244,2418.180158552583,1846.8629,0.9266419999999987,4.754805732945702
45187351744000,17.603886,17.038551,16.315683,4450.027,1073.622877711123,752.1697,1.2783029999999993,6.865892213717071
45221711481600,15.961645,15.652733,15.175008,6129.123,2338.2502960161755,1794.3413,0.6653370000000007,3.5847780100101296
45320494931840,18.918957,17.858206,16.833372,3647.2896,547.5833400696383,569.238,1.9128849999999982,8.866954867572352
45324790696192,13.202721,12.841108,12.31106,5855.5234,403.5793360706576,385.955,0.760361000000001,4.566463392307346
45629732576640,18.943226,17.503365,16.351595,3475.7651,285.3695256029022,276.9741,2.2530309999999996,9.685427033632159
45664092292480,11.897364,11.605029,11.139535,6025.4565,402.0901271703551,381.7309,0.6997289999999992,3.475911951671156
45668388078592,13.998445,13.708774,13.254796,6128.292,794.4822715801782,753.6002,0.6640489999999996,4.062152946913619
45805827031168,17.034058,16.611994,16.013548,4961.45,2156.501192523213,1585.6166,1.0177100000000017,4.938145486787672
46046345200000,16.63684,15.94292,15.1322155,4255.5796,682.5367084573043,693.5203,1.4271245000000004,6.627289931313456
46115064697600,16.301027,15.619401,14.825943,4564.992,554.2315139922937,558.3423,1.3022840000000007,6.571144917815481
46557445516032,19.22628,18.108578,17.08322,3472.9653,877.5993716820213,513.2977,2.0023599999999986,8.144096481833596
46664820488704,16.014277,15.600054,15.017284,5168.192,1291.9893245255594,1154.0328,0.9603929999999998,4.975559374114875
46797963686144,19.609083,18.638777,17.697323,3751.7139,907.4190137676927,1496.6174,1.8667599999999975,8.768237624535184
46974058156160,16.756054,16.023127,15.1895685,4325.6123,567.8767325342487,537.0298,1.4394854999999989,7.011656625934652
47038481856128,18.837162,17.894636,16.959751,3822.1633,810.0071864991039,572.934,1.7712109999999985,8.15639163990885
47283295780864,16.935978,16.606236,16.101332,5481.7866,1975.318953147655,1291.63,0.8303459999999994,5.120149845989918
48142289237248,16.28437,15.786614,15.129153,4764.09,1016.644936035387,967.465,1.1500169999999985,5.740967491261669
48348447666944,14.274835,13.968885,13.483078,5751.917,1035.3927440696373,979.9163,0.7749569999999987,3.8624594141822453
48966922363136,17.184673,16.84122,16.239199,5273.365,2366.54686274678,1176.2429,0.9329740000000009,4.947744455703532
49001282700416,14.374517,13.874384,13.214175,5281.573,1054.0204548274567,882.7452,0.9350420000000017,3.339238804571373
49134425896448,18.391901,17.188951,16.08264,3537.2908,383.0578158987244,353.6745,2.0632609999999993,8.861029359519879
49413599559424,15.078262,14.710934,14.164646,5698.17,840.2716376911646,745.7383,0.7888160000000011,4.857835476357996
49615462694400,20.3951,18.614435,17.330994,3057.8247,169.25986940070223,169.3585,2.918705999999999,12.269964992791666
49654117729024,18.717379,17.658398,16.64272,3715.7678,588.8273175964737,462.2782,1.8583590000000005,8.422158249414258
49684181947392,17.917477,17.543238,16.990925,5264.4014,2059.2986494414185,1776.6187,0.922252000000001,5.966741326650041
49718541571200,14.315644,13.886011,13.262591,5139.0845,496.53539785048383,487.0533,0.9725530000000002,5.256559926747814
49752901421440,20.293707,18.755571,17.493849,3185.2432,324.05470814597845,300.0081,2.7292580000000006,11.09967932180304
50066434588928,15.914007,15.519204,14.949499,5161.398,1309.3182310329887,1090.9326,0.9579080000000003,4.921777924676743
50719269615744,17.80423,16.676012,15.610317,3786.2925,337.46025115434173,334.8318,1.8831130000000003,8.495698872993865
51299089383680,16.146664,15.770729,15.228704,5352.112,1784.6272294612104,1408.379,0.9086600000000008,4.495791424634978
51372104643200,15.541771,15.110422,14.508568,5532.0312,2083.3326811249426,1703.8888,0.8882030000000003,3.2448288666792546
51372104643456,16.301554,15.874609,15.282244,5241.1475,1007.2715545780901,874.259,0.953109999999999,5.735376151918498
51406464382080,17.814827,17.436869,16.892414,5321.0103,2197.762020913882,1775.973,0.9200130000000024,5.722565679215432
51646982549632,15.282385,14.570078,13.759035,4520.6357,338.33418661165433,329.2937,1.348949999999999,6.590648585895025
51745766016128,17.628637,17.21571,16.29021,4351.8774,1290.7335018116157,740.3137,1.334427000000003,6.654027087041774
51750061767040,11.736946,11.344228,10.78821,5412.4385,198.55723230675622,196.6422,0.9207360000000002,4.8015994472132455
52093659149952,15.046391,14.716346,14.211469,5933.333,1044.6889883306178,1018.8215,0.7307220000000006,4.430110915016279
52158083142656,19.996313,18.48129,17.299767,3405.8582,428.7634303931558,368.7592,2.4119460000000013,9.869601315453908
52162378626432,17.57789,16.750673,15.887242,3948.5896,609.3853132637568,602.7835,1.6660479999999995,7.780513084381699
52845277837824,20.283718,18.535498,17.238636,3482.6528,299.49784683010085,833.8254,2.4033820000000006,10.249829477611533
53017076542080,18.982243,18.129602,17.230051,3772.0168,1301.2245028284992,607.3458,1.743592000000001,7.542040836453628
53395033666048,17.887688,16.68364,15.661668,3801.1128,401.3647770645586,387.4104,1.92582,8.144243714769585
53777286341504,16.78021,16.408194,15.862403,5357.4883,3667.4677168628946,1162.5192,0.8804069999999998,3.5172625018746793
53841710275072,20.351568,18.955885,17.835901,3373.7148,675.5259017203617,396.8661,2.5025670000000004,9.786774970748152
53841710275840,20.195305,18.870535,17.754644,3292.7288,506.2262099414226,342.9339,2.431361000000002,10.334311864653621
53983444739712,14.932571,14.56304,14.02287,5743.5835,1070.131453015677,1184.0394,0.7886010000000001,4.19005435543928
54047868930944,20.812668,18.871185,17.603,3151.4116,298.74677929530293,639.1391,3.021667999999997,11.238768840123925
54258322646272,16.696894,16.012856,15.1796,4437.2783,615.6852472784783,553.6248,1.3465939999999996,6.742262263082951
54533200551552,20.163212,18.795975,17.646679,3270.8318,734.6050026698354,365.1729,2.5042330000000024,9.44600559214729
54773718720896,18.407104,17.114788,15.983117,3686.0906,431.2575999440894,367.7371,2.0401870000000004,8.30400419194468
54803782957312,16.838013,16.27964,15.397307,4689.449,835.73927869145,652.2442,1.2112060000000004,6.236385930302802
55082956398464,16.935669,16.241825,15.438058,4312.6733,774.2099681107296,844.9152,1.4300110000000008,6.670431206756618
55117316135808,15.670838,15.052021,14.292112,4491.14,444.62018744734036,469.0744,1.2873260000000004,6.640175112841614
55254755090560,17.452833,16.876928,16.16913,4442.2993,1275.3812296363426,1044.7095,1.2813029999999992,6.344227895052374
55529633168000,19.594194,18.20594,17.05152,3329.194,335.92087698641643,288.448,2.3198740000000018,10.215055022794495
55632712209920,17.55184,17.034092,16.370567,4661.385,2365.3785062253305,1597.9756,1.1786729999999974,5.1597887693198885
55701431684352,15.950397,15.584697,15.033099,5640.793,1417.1891593477599,992.042,0.8130980000000007,4.634357892100226
55735791423104,14.102062,13.720588,13.176903,5424.7534,663.736746957712,641.1954,0.9059590000000007,4.574608687598301
55834575114368,17.355688,17.048704,16.567333,5722.4585,2509.3213009904102,1819.7738,0.7861549999999993,5.046822633815005
55907590116608,16.82585,15.764267,14.694442,4032.8875,415.42156465296955,413.4506,1.7412079999999985,6.9835218143211115
56182467991040,14.159196,13.8248,13.286521,5972.4644,633.8798263365004,636.0152,0.7281749999999992,4.547365348650404
56388626421120,18.677847,18.059864,17.273901,4245.28,1632.8386786594197,908.0188,1.4012460000000013,6.990147603043109
56594784850688,16.72468,16.318497,15.746295,5214.758,1743.799799498179,1128.4489,0.9663849999999994,5.088513883037983
56732223835904,14.550476,13.948764,13.212774,5238.9756,388.7704518992775,366.8026,0.9711020000000001,5.311197752997664
56800943311872,16.362026,15.82886,15.151051,4710.5474,850.1982625943235,943.2872,1.1853749999999994,6.132758934309013
56968446492288,20.112253,18.518803,17.338507,3344.3909,377.21946821094696,331.6583,2.5745459999999993,10.327532507584412
57243324370176,20.071829,18.625317,17.452246,3239.504,392.9790991938473,342.185,2.5956830000000024,10.617969735987504
57243324371712,20.157164,18.556835,17.38527,3250.0598,409.2084109223352,330.1649,2.741294000000003,10.451612241617354
57277684114560,19.769602,18.469536,17.36079,3463.8257,907.2751830619637,448.294,2.2502119999999977,8.419840841660395
57385058871680,14.980015,14.445218,13.753062,4873.0527,445.8176802373473,441.2968,1.088153,5.939731561319496
57866095172480,16.018656,15.686525,15.186616,5820.484,2183.3740699104837,2451.4653,0.7457399999999992,3.8318842587410185
57896159414912,19.255981,18.212292,17.16953,3573.3108,641.6890096310827,539.0957,1.9856509999999967,9.004168994579183
58656369156608,19.380108,17.999746,16.884287,3476.7786,450.7284547524262,371.7751,2.2856209999999995,9.392571118987483
59236189231360,18.990992,17.599262,16.440168,3482.3909,301.8560868712385,287.2231,2.2178239999999985,9.665662311278181
59270548971648,16.943464,15.909583,14.907625,4001.2065,322.1198265480559,314.529,1.7310389999999993,7.820195717171032
59270548972672,19.620981,18.248035,17.066425,3324.805,366.47892919112354,458.8807,2.3548560000000016,10.119389950940832
59481002873984,16.039648,15.611842,15.014827,5568.742,3055.1075332105306,3514.3906,0.8430209999999994,2.8492094946062227
59854664522368,15.618499,15.274554,14.716223,5380.0767,1269.7957980537235,1154.1158,0.8953760000000005,4.743084572026953
59858959995264,18.696207,16.96923,15.708381,3256.5967,115.83325492098238,119.6492,2.543226000000002,10.986563698927196
60408715999360,20.226206,18.87765,17.731228,3288.5647,676.2782332787418,438.3761,2.4922779999999998,9.722922952855985
